id,name,date_created,active,creator_id,is_public,prep_time,instructions,photo_link,cookbook,cookbook_page_number,web_link,category_id,type_id
1,"Peanut Butter and Jelly Sandwich",2019-11-14,1,1,1,5,"1. Spread peanut butter onto one piece of bread. 2. Spread jelly onto a second piece of bread. 3. Combine and enjoy.",https://tmbidigitalassetsazure.blob.core.windows.net/secure/RMS/attachments/37/1200x1200/Peanut-Butter-and-Jelly-French-Toast_EXPS_BMZ19_526_B12_04_10b.jpg,"The Bachelor’s Cookbook",1,,3,2
2,"Spaghetti ",2019-11-14,1,1,1,20,"1. Boil noodles for 8 minutes and drain. 2. Pour spaghetti sauce into a pot and warm 3. Combine and eat.",https://www.inspiredtaste.net/wp-content/uploads/2019/03/Spaghetti-with-Meat-Sauce-Recipe-3-1200.jpg,"The Bachelor’s Cookbook",2,,4,3
3,"Buttered Toast",2019-11-14,1,1,1,3,"1. Place a slice of bread into the toaster & toast to desired crispness. 2. Remove and spread a layer of butter onto the toast. 3. Eat",https://cdn-image.myrecipes.com/sites/default/files/styles/pronto_crop_large/public/assets%252Fmessage-editor%252F1467176631211-diner-toast-knife-inline_0.jpg,"The Bachelor’s Cookbook",3,,3,1
4,Pizza,2019-11-14,1,1,1,20,"1. Spread pizza sauce onto pizza crust. 2. Add mozzarella cheese. 3. Cook in the oven at 375 for 20 minutes. 4. Remove and cool for 5 minutes. 5. Slice and chow down.",https://i.iheart.com/v3/re/new_assets/5d710bf67e5b163a524c72b2,"The Bachelor’s Cookbook",4,,4,3
5,Ramen,2019-11-14,1,1,1,5,"1. Boil ramen in a pot of water for 3-5 minutes. 2. Add seasoning 3. Allow to cool to desired temperature and enjoy.",https://images-na.ssl-images-amazon.com/images/I/915AEp17FaL._SL1500_.jpg,"The Bachelor’s Cookbook",5,,2,3
6,"Banana Cake",2019-11-20,1,1,1,300,"Bake in three layer pans at 350 degrees.",https://hips.hearstapps.com/vidthumb/images/delish-banana-cake-4-1535137229.jpg,,,,1,5
7,"Blueberry Coffee Cake",2019-11-19,1,1,1,50,"Mix butter; 1 cup sugar; flour; 2 eggs; 2 tsp vanilla; baking powder; and milk to make cake batter. Blend easily.  Add 3 cups of blueberries.  Put 2 1/2 cups of batter in pan. Mix cream cheese; 1/2 cup sugar; 1 egg; lemon juice and 1 tsp vanilla to make filling.  Put filling on top of batter.  Top with remaining batter. Make streusel topping from flour; butter; brown sugar; ad cinnamon.  Sprinkle on top of cake. Bake at 375 degrees for 1 hour and 5 minutes.  Check after 50 minutes.",https://www.lifeloveandsugar.com/wp-content/uploads/2015/08/Blueberry_Coffee_Cake.jpg,,,,4,5
8,"Chocolate Cake",2019-11-19,1,1,1,50,"Mix all ingredients together.  Pour in 1 cup boiling water.  Mix well.  Bake about 35 minutes at 375 degrees.",https://cdn-image.foodandwine.com/sites/default/files/1532533774/moms-chocolate-cake-XL-RECIPE0918.jpg,,,,3,5
9,"Crazy Cake",2019-11-19,1,1,1,40,"Mix first 5 ingredients well; about 4 minutes.  Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice.",https://live.staticflickr.com/3503/3826356525_d5f0a3b59c_m.jpg,,,,3,5
10,"Fresh Apple Cake",2019-11-19,1,1,1,70,"Mix apples and sugar well.  Add oil; nuts; and eggs.  Add vanilla and dry ingredients.  Bake at 350 degrees for 40-45 minutes.  Serve with whipped cream or top with cream cheese frosting.",https://www.onceuponachef.com/images/2011/04/French-Apple-Cake-760x943.jpg,,,,3,5
11,"Blue Chip Cookies",2019-11-19,1,1,1,25,"Mix at low speed.  Add chocolate chips and nuts by hand.  Press into balls in cookie scoop.  Bake at 300 degrees for 15 minutes on middle rack.",https://pbs.twimg.com/media/B__wt5AWsAAjXZn.jpg,,,,3,5
12,"Bourbon Balls",2019-11-19,1,1,1,75,"Melt chocolate in double boiler over hot water.  Combine syrup and liquid.  Combine crumbs; sugar; and nuts.  Add chocolate mixture.  Let stand 30 minutes.  Shape in 1",https://www.loveandoliveoil.com/wp-content/uploads/2017/04/bourbon-delightH2.jpg,,,,4,5
13,"Chocolate Crisp Bran Cookies",2019-11-19,1,1,1,15,"Sift flour; soda; and salt.  Blend butter and sugar.  Add eggs and vanilla; beat well.  Add All-Bran cereal and chocolate chips.  Add dry ingredients; mix well.  Drop by spoonful onto cookie sheet.  Bake at 375 degrees about 12 minutes.",https://amyshealthybaking.com/wp-content/uploads/2019/01/ultimate-healthy-crunchy-chocolate-chip-cookies-5617.jpg,,,,8,5
14,"Chocolate Peanut Brunch Bars",2019-11-19,1,1,1,30,"Blend first 5 ingredients until it resembles corn meal.  Add egg and vanilla.  Mix well.  Press firmly into ungreased jelly roll pan.  Bake at 350 degrees for 25 minutes.  Cool slightly.  Melt chocolate over hot water.  Stir in peanut butter and cereal.  Spread on cookie dough.  Let stand until chocolate sets.  Cut into 35 bars.",https://beamingbaker.com/wp-content/uploads/2016/09/Peanut-Butter-Chocolate-Chip-Oatmeal-Breakfast-Bars-Vegan-Gluten-Free-Dairy-Free-1.jpg,,,,5,5
15,"Chocolate Trio Squares",2019-11-19,1,1,1,25,"Cream butter; mis in four; and salt.  Spread in greased and floured 9",https://thesweetestoccasion.com/wp-content/uploads/2016/11/dark-chocolate-caramel-corn-fudge-16.jpg,,,,4,5
16,"Broccoli Curry Salad",2019-11-19,1,1,1,20,"Mix all ingredients and enjoy",http://eatinmess.com.au/wp-content/uploads/2015/07/curry-broccoli-salad.jpg,,,,7,2
17,"Broccoli Salad",2019-11-19,1,1,1,15,"Pour dressing over salad two hours before serving.",https://www.fifteenspatulas.com/wp-content/uploads/2014/01/Broccoli-Salad-Fifteen-Spatulas-7-500x427.jpg,,,,4,2
18,"Five Cup Salad",2019-11-19,1,1,1,15,"Combine all ingredients.  Chill overnight.",https://images.media-allrecipes.com/userphotos/560x315/4503262.jpg,,,,3,5
19,"Chicken Noodle Soup",2019-11-20,1,1,1,25,"Boil chicken; remove from bones and chop.  Set aside.  Cook potato; carrots; celery; and onion in water to cover.  When tender add the chicken; bouillon cubes; poultry seasoning; and salt.  Add a large handful of narrow egg noodles.  Add more liquid if necessary and cook until noodles are tender.",https://hips.hearstapps.com/del.h-cdn.co/assets/17/38/1506010321-chicken-noodle-soup-delish-1.jpg,,,,3,3
20,"Cleo's Clam Chowder",2019-11-20,1,1,1,45,"Boil potatoes.  Save water.  When potatoes are tender add bacon; onion; and celery.  Add half and half; milk and seasonings.  Thicken with a cup of flour mixed with water.  Add to boiling soup.  Stir in clams; but not too soon or they will get tough.",https://pbs.twimg.com/media/DW4U02VVoAALjjL.jpg,,,,7,3
21,"Creamy Zucchini Mushroom Soup",2019-11-20,1,1,1,25,"Combine zucchini; onion; garlic and butter in 2 qt. microwave-safe casserole.  Cover and microwave on high setting 5 to 7 minutes; stirring every 3 minutes; until vegetables are tender.  Place zucchini mixture in blender container; blend until smooth.  Return to casserole dish; add all remaining ingredients except sour cream; pepper and pine nuts.  Cover and microwave 5 to 6 minutes; or until heated through.  Stir in sour cream and season to taste with pepper.  Ladle into soup bowls and garnish with sprinkle of pine nuts.  Serve immediately.",https://tastespace.files.wordpress.com/2010/10/dsc_2730-1porn-e1437695416979.jpg,,,,7,2
22,"Elephant Stew",2019-11-20,1,1,1,85,"Cut elephant into bite-size pieces.  (Allow approximately 12 months.)  Add enough gravy to cover.  Cook over kerosene fire for 4 weeks at 463 degrees.  Makes 3;300 servings.  To extend recipe add rabbits; but only if necessary; as some people do not like to find hare in their stew. Brown the meat; then add all of the ingredients; except the cabbage. Cover with water and simmer for about an hour until veggies are tender.  Then add the chopped cabbage and simmer again for about a half hour.  Add more liquid if necessary.",https://s3-media3.fl.yelpcdn.com/bphoto/TpezzGrKBXJkzjR-8cl48A/o.jpg,,,,3,3
23,"Minestrone Soup",2019-11-20,1,1,1,45,"Brown hamburger and onions.  Add all other ingredients with enough water to cover.  Simmer two to three hours then add spaghetti and cook until tender.",https://cookieandkate.com/images/2018/01/best-minestrone-soup-recipe.jpg,,,,5,2
24,"Chinese Fried Rice",2019-11-20,1,1,1,25,"Saute onion and meat in oil. Add other ingredients except egg. Cook on low heat about 15 to 20 minutes. Beat egg with a tablespoon of milk. Melt butter in skillet; pour in egg and cook until solid. Slice in thin strips to put over the rice as garnish on the platter.",https://www.jessicagavin.com/wp-content/uploads/2018/09/fried-rice-8-1200.jpg,,,,2,3
25,"Pork Fu Man Chow",2019-11-20,1,1,1,15,"Saute onion and celery in oil. Add pork; bean sprouts and all other ingredients except peas and noodles. Simmer for 30 minutes. Add peas and simmer for 30 more minutes. Serve over noodles.",https://upload.wikimedia.org/wikipedia/commons/d/d1/Chow_mein_1_by_yuen.jpg,,,,2,3
26,"Shrimp Pineapple Fried Rice",2019-11-20,1,1,1,30,"Fry cooled rice in oil in a skillet. Add shrimp; onions and pineapple. Add soy sauce to taste.",https://d1doqjmisr497k.cloudfront.net/-/media/mccormick-us/recipes/mccormick/t/800/thai_pineapple_fried_rice_recipes_800x800.jpg,,,,2,3
27,"Sweet and Sour Pork",2019-11-20,1,1,1,25,"Cut pork into chunks. Marinade for 30 minutes in dressing made by combining: salt; soy sauce; cornstarch; and water. Drain pork and dip in a batter of coating mix; ice water; and egg. Brown in a few tablespoons of oil in a wok about 3 minutes or until brown and crisp. Remove with a slotted spoon. Add green pepper; onion; and carrot. Stir fry about 5 minutes. Add sweet and sour sauce made by combining: ketchup; brown sugar; white sugar; cinnamon; ginger; and juice of the large lemon. Stir until sauce thickens. Add pineapple chunks and the pork. Ser with hot steamed rice.",https://pupswithchopsticks.com/wp-content/uploads/sweet-and-sour-pork-thumbnail-1.jpg,,,,2,2
28,"Albert's Chicken",2019-11-20,1,1,1,25,"Place chicken in casserole. Heat together remaining ingredients to make sauce. Pour sauce over chicken. Cook in electric skillet or 350 degree oven for about 1 hour.",https://www.onceuponachef.com/images/2016/09/Spicy-Honey-Roast-Chicken-1-760x550.jpg,,,,3,2
29,"Avocado Chicken Melt",2019-11-20,1,1,1,46,"Using a meat mallet and a hard surface; pound the chicken to 1/4 inch thickness. Mix together the cornstarch; cumin and garlic salt. Add the chicken 1 piece at a time; dredging to coat. Mix the egg and water in a small bowl. Put the cornmeal in another small bowl. Dip the chicken first in the egg wash and then in the cornmeal; turning to coat. Heat the oil in a large frying pan until hot. Add the chicken and cook for 2 minutes on each side. Remove the chicken to a shallow baking pan. Place avocado slices over the chicken and sprinkle cheese. Bake in a preheated 350 degree oven about 15 minutes; or until a fork can be inserted with ease and the cheese is melted. Top the cheese layer with the sour cream. Sprinkle with green onion and red pepper. Garnish with cherry tomatoes and parsley.",https://www.jocooks.com/wp-content/uploads/2015/02/avocado-chicken-salad-1-3-500x500.jpg,,,,6,2
30,"Batter Fried Chicken",2019-11-20,1,1,1,25,"Make better. Dip chicken; drain 5 to 10 minutes on rack. Fill dutch oven 1/3 full of oil; heat to 375 degrees. Cook chicken about 12 minutes. Drain on paper towels.",https://dinnerthendessert.com/wp-content/uploads/2019/01/Fried-Chicken-2-688x1032.jpg,,,,8,3
